ID,Sex,Language,Name,Script,Family,Autotyp_Area,Condition,match
BE01,f,BE,English UK,roman,IE,Europe,r,TRUE
BE01,f,BE,English UK,roman,IE,Europe,l,TRUE
BE02,f,BE,English UK,roman,IE,Europe,r,TRUE
BE02,f,BE,English UK,roman,IE,Europe,l,TRUE
BE03,f,BE,English UK,roman,IE,Europe,r,TRUE
BE03,f,BE,English UK,roman,IE,Europe,l,TRUE
BE04,f,BE,English UK,roman,IE,Europe,r,TRUE
BE04,f,BE,English UK,roman,IE,Europe,l,TRUE
BE05,f,BE,English UK,roman,IE,Europe,r,TRUE
BE05,f,BE,English UK,roman,IE,Europe,l,TRUE
BE06,f,BE,English UK,roman,IE,Europe,r,TRUE
BE06,f,BE,English UK,roman,IE,Europe,l,TRUE
BE07,f,BE,English UK,roman,IE,Europe,r,TRUE
BE07,f,BE,English UK,roman,IE,Europe,l,TRUE
BE08,f,BE,English UK,roman,IE,Europe,r,TRUE
BE08,f,BE,English UK,roman,IE,Europe,l,TRUE
BE09,m,BE,English UK,roman,IE,Europe,r,TRUE
BE09,m,BE,English UK,roman,IE,Europe,l,TRUE
BE10,f,BE,English UK,roman,IE,Europe,r,TRUE
BE10,f,BE,English UK,roman,IE,Europe,l,TRUE
BE11,f,BE,English UK,roman,IE,Europe,r,TRUE
BE11,f,BE,English UK,roman,IE,Europe,l,TRUE
BE12,f,BE,English UK,roman,IE,Europe,r,TRUE
BE12,f,BE,English UK,roman,IE,Europe,l,TRUE
BE13,f,BE,English UK,roman,IE,Europe,r,TRUE
BE13,f,BE,English UK,roman,IE,Europe,l,TRUE
BE14,f,BE,English UK,roman,IE,Europe,r,TRUE
BE14,f,BE,English UK,roman,IE,Europe,l,TRUE
BE15,f,BE,English UK,roman,IE,Europe,r,TRUE
BE15,f,BE,English UK,roman,IE,Europe,l,TRUE
BE16,f,BE,English UK,roman,IE,Europe,r,TRUE
BE16,f,BE,English UK,roman,IE,Europe,l,TRUE
BE17,f,BE,English UK,roman,IE,Europe,r,TRUE
BE17,f,BE,English UK,roman,IE,Europe,l,TRUE
BE18,f,BE,English UK,roman,IE,Europe,r,TRUE
BE18,f,BE,English UK,roman,IE,Europe,l,TRUE
BE19,f,BE,English UK,roman,IE,Europe,r,TRUE
BE19,f,BE,English UK,roman,IE,Europe,l,TRUE
BE20,m,BE,English UK,roman,IE,Europe,r,TRUE
BE20,m,BE,English UK,roman,IE,Europe,l,TRUE
BE21,f,BE,English UK,roman,IE,Europe,r,TRUE
BE21,f,BE,English UK,roman,IE,Europe,l,TRUE
BE22,f,BE,English UK,roman,IE,Europe,r,TRUE
BE22,f,BE,English UK,roman,IE,Europe,l,TRUE
BE23,f,BE,English UK,roman,IE,Europe,r,TRUE
BE23,f,BE,English UK,roman,IE,Europe,l,TRUE
BE24,m,BE,English UK,roman,IE,Europe,r,TRUE
BE24,m,BE,English UK,roman,IE,Europe,l,TRUE
BE25,f,BE,English UK,roman,IE,Europe,r,TRUE
BE25,f,BE,English UK,roman,IE,Europe,l,TRUE
BE26,f,BE,English UK,roman,IE,Europe,r,TRUE
BE26,f,BE,English UK,roman,IE,Europe,l,TRUE
BE27,f,BE,English UK,roman,IE,Europe,r,TRUE
BE27,f,BE,English UK,roman,IE,Europe,l,TRUE
BE28,f,BE,English UK,roman,IE,Europe,r,TRUE
BE28,f,BE,English UK,roman,IE,Europe,l,TRUE
BE29,f,BE,English UK,roman,IE,Europe,r,TRUE
BE29,f,BE,English UK,roman,IE,Europe,l,TRUE
BE30,m,BE,English UK,roman,IE,Europe,r,TRUE
BE30,m,BE,English UK,roman,IE,Europe,l,TRUE
BE31,f,BE,English UK,roman,IE,Europe,r,TRUE
BE31,f,BE,English UK,roman,IE,Europe,l,TRUE
BE32,f,BE,English UK,roman,IE,Europe,r,TRUE
BE32,f,BE,English UK,roman,IE,Europe,l,TRUE
BE33,f,BE,English UK,roman,IE,Europe,r,TRUE
BE33,f,BE,English UK,roman,IE,Europe,l,TRUE
BE34,f,BE,English UK,roman,IE,Europe,r,TRUE
BE34,f,BE,English UK,roman,IE,Europe,l,TRUE
BE35,f,BE,English UK,roman,IE,Europe,r,TRUE
BE35,f,BE,English UK,roman,IE,Europe,l,TRUE
BE36,f,BE,English UK,roman,IE,Europe,r,TRUE
BE36,f,BE,English UK,roman,IE,Europe,l,TRUE
BE37,f,BE,English UK,roman,IE,Europe,r,TRUE
BE37,f,BE,English UK,roman,IE,Europe,l,TRUE
BE38,f,BE,English UK,roman,IE,Europe,r,TRUE
BE38,f,BE,English UK,roman,IE,Europe,l,TRUE
BE39,f,BE,English UK,roman,IE,Europe,r,TRUE
BE39,f,BE,English UK,roman,IE,Europe,l,TRUE
BE41,f,BE,English UK,roman,IE,Europe,r,TRUE
BE41,f,BE,English UK,roman,IE,Europe,l,TRUE
BE42,f,BE,English UK,roman,IE,Europe,r,TRUE
BE42,f,BE,English UK,roman,IE,Europe,l,TRUE
BE43,m,BE,English UK,roman,IE,Europe,r,TRUE
BE43,m,BE,English UK,roman,IE,Europe,l,TRUE
BE44,f,BE,English UK,roman,IE,Europe,r,FALSE
BE44,f,BE,English UK,roman,IE,Europe,l,FALSE
BE45,f,BE,English UK,roman,IE,Europe,r,TRUE
BE45,f,BE,English UK,roman,IE,Europe,l,TRUE
BE46,m,BE,English UK,roman,IE,Europe,r,TRUE
BE46,m,BE,English UK,roman,IE,Europe,l,TRUE
BE47,f,BE,English UK,roman,IE,Europe,r,TRUE
BE47,f,BE,English UK,roman,IE,Europe,l,TRUE
BE48,m,BE,English UK,roman,IE,Europe,r,TRUE
BE48,m,BE,English UK,roman,IE,Europe,l,TRUE
BE49,f,BE,English UK,roman,IE,Europe,r,TRUE
BE49,f,BE,English UK,roman,IE,Europe,l,TRUE
BE50,f,BE,English UK,roman,IE,Europe,r,TRUE
BE50,f,BE,English UK,roman,IE,Europe,l,TRUE
BE51,f,BE,English UK,roman,IE,Europe,r,TRUE
BE51,f,BE,English UK,roman,IE,Europe,l,TRUE
BE52,f,BE,English UK,roman,IE,Europe,r,TRUE
BE52,f,BE,English UK,roman,IE,Europe,l,TRUE
BE53,f,BE,English UK,roman,IE,Europe,r,TRUE
BE53,f,BE,English UK,roman,IE,Europe,l,TRUE
BE54,f,BE,English UK,roman,IE,Europe,r,TRUE
BE54,f,BE,English UK,roman,IE,Europe,l,TRUE
BE55,f,BE,English UK,roman,IE,Europe,r,TRUE
BE55,f,BE,English UK,roman,IE,Europe,l,TRUE
BE56,f,BE,English UK,roman,IE,Europe,r,TRUE
BE56,f,BE,English UK,roman,IE,Europe,l,TRUE
BR01,m,BR,Tashlhiyt Berber,other,Afro-Asiatic,N Africa,r,TRUE
BR01,m,BR,Tashlhiyt Berber,other,Afro-Asiatic,N Africa,l,TRUE
