experiment,script,section,session,startdate,sex,participantage,school,residence,firstlanguage,foreignlanguages,spokendialect,hearing,audio,options,inputvalue,playbacks,duration,inputtimestamp,position,l1,l2,dialect,L1,L2
Iconicity (AL),ICAL_0,ICAL_0_1,2110262,2018-12-04,F,41,Krujë,Tiranë,albanian,"english, french","toskërisht, standard",weak_hearing,l.wav,"[""r"", ""l""]",l,1,00:00:15.467,2018-12-04 10:12:47.068,191,albanian,"english, french","tosk, standard",,
Iconicity (AL),ICAL_0,ICAL_0_1,2110262,2018-12-04,F,41,Krujë,Tiranë,albanian,"english, french","toskërisht, standard",weak_hearing,r.wav,"[""r"", ""l""]",l,0,00:00:01.009,2018-12-04 10:12:48.098,138,albanian,"english, french","tosk, standard",,
Iconicity (AL),ICAL_0,ICAL_0_1,2137891,2019-02-08,M,31,Tirane Shqiperi ,Berlin,shqip ,"anglisht, italisht, frengjisht ",jo,normal,l.wav,"[""r"", ""l""]",l,2,00:00:16.787,2019-02-08 22:13:51.972,191,albanian ,"english, italian, french ",NA,,
Iconicity (AL),ICAL_0,ICAL_0_1,2137891,2019-02-08,M,31,Tirane Shqiperi ,Berlin,shqip ,"anglisht, italisht, frengjisht ",jo,normal,r.wav,"[""r"", ""l""]",r,1,00:00:02.831,2019-02-08 22:13:55.198,138,albanian ,"english, italian, french ",NA,,
Iconicity (AL),ICAL_0,ICAL_0_1,2142091,2019-02-28,F,47,Elbasan ,Elbasan,shqip,"frengjisht, italisht",gegersiht,normal,l.wav,"[""r"", ""l""]",r,2,00:00:14.314,2019-02-28 20:26:11.844,191,albanian,"french, italian",geg,,
Iconicity (AL),ICAL_0,ICAL_0_1,2142091,2019-02-28,F,47,Elbasan ,Elbasan,shqip,"frengjisht, italisht",gegersiht,normal,r.wav,"[""r"", ""l""]",r,2,00:00:06.339,2019-02-28 20:26:18.334,138,albanian,"french, italian",geg,,
Iconicity (AL),ICAL_0,ICAL_0_1,2142266,2019-02-28,M,38,pogradec,tirane,shqip,"anglisht, italisht",jo,normal,l.wav,"[""r"", ""l""]",r,0,00:00:04.209,2019-02-28 20:53:35.831,191,albanian,"english, italian",NA,,
Iconicity (AL),ICAL_0,ICAL_0_1,2142266,2019-02-28,M,38,pogradec,tirane,shqip,"anglisht, italisht",jo,normal,r.wav,"[""r"", ""l""]",r,0,00:00:02.544,2019-02-28 20:53:43.607,138,albanian,"english, italian",NA,,
Iconicity (AL),ICAL_0,ICAL_0_1,2142743,2019-02-28,M,42,Elbasan,Ebasan,shqip,shqip,jo,normal,l.wav,"[""r"", ""l""]",r,3,00:00:16.819,2019-02-28 21:55:19.914,191,albanian,NA,NA,,
Iconicity (AL),ICAL_0,ICAL_0_1,2142743,2019-02-28,M,42,Elbasan,Ebasan,shqip,shqip,jo,normal,r.wav,"[""r"", ""l""]",r,1,00:00:10.28,2019-02-28 21:55:47.553,138,albanian,NA,NA,,
Iconicity (AL),ICAL_0,ICAL_0_1,2143087,2019-02-28,F,24,Limnos,Birmingham,shqip,greqishte anglishte,jo,normal,r.wav,"[""r"", ""l""]",l,2,00:00:27.325,2019-02-28 22:55:38.93,138,albanian,"greek, english",NA,,
Iconicity (AL),ICAL_0,ICAL_0_1,2143087,2019-02-28,F,24,Limnos,Birmingham,shqip,greqishte anglishte,jo,normal,l.wav,"[""r"", ""l""]",l,1,00:00:05.581,2019-02-28 22:55:47.044,191,albanian,"greek, english",NA,,
