ID,Match,Language,Sex,Age,Name,Script,Family,Autotyp_Area,L2,EnglishL2YesNo,Order,r_l_distinction_L1,trill_real_L1,trill_occ_L1,r_l_distinction_L2,trill_real_L2,trill_occ_L2
AL_2137891,1,AL,M,31,Albanian,roman,IE,Europe,"english, italian, french ",TRUE,l_first,1,1,1,1,1,1
AL_2142091,0,AL,F,47,Albanian,roman,IE,Europe,"french, italian",FALSE,l_first,1,1,1,1,1,1
AL_2142743,0,AL,M,42,Albanian,roman,IE,Europe,NA,FALSE,l_first,1,1,1,NA,NA,NA
AL_2143087,0,AL,F,24,Albanian,roman,IE,Europe,"greek, english",TRUE,r_first,1,1,1,1,0,1
AL_2144707,1,AL,F,60,Albanian,roman,IE,Europe,"italian, french, german, english",TRUE,r_first,1,1,1,1,1,1
AL_2145197,1,AL,F,51,Albanian,roman,IE,Europe,italian,FALSE,r_first,1,1,1,1,1,1
AL_2200030,1,AL,F,31,Albanian,roman,IE,Europe,"serbian,english",TRUE,r_first,1,1,1,1,0,1
AL_2200491,1,AL,F,21,Albanian,roman,IE,Europe,"serbian, english, turkish",TRUE,l_first,1,1,1,1,0,1
AL_2200597,1,AL,M,29,Albanian,roman,IE,Europe,"english,serbian",TRUE,l_first,1,1,1,1,0,1
AL_2201480,1,AL,M,33,Albanian,roman,IE,Europe,"serbian, english",TRUE,r_first,1,1,1,1,0,1
AM_2085826,1,AM,F,30,Armenian,different,IE,Greater Mesopotamia,"russian, english, german",TRUE,l_first,1,1,1,1,1,1
AM_2086395,1,AM,F,30,Armenian,different,IE,Greater Mesopotamia,"english, german, russian",TRUE,l_first,1,1,1,1,1,1
AM_2089819,1,AM,F,25,Armenian,different,IE,Greater Mesopotamia,"russian, english, german ",TRUE,l_first,1,1,1,1,1,1
AM_2090125,1,AM,F,27,Armenian,different,IE,Greater Mesopotamia,"russian, english",TRUE,r_first,1,1,1,1,1,1
AM_2110154,1,AM,F,27,Armenian,different,IE,Greater Mesopotamia,"russian, english, french",TRUE,l_first,1,1,1,1,1,1
AM_2124652,1,RU,F,26,Russian,different,IE,Inner Asia,"english, armenian, french",TRUE,r_first,1,1,1,1,1,1
AM_2126284,0,AM,M,58,Armenian,different,IE,Greater Mesopotamia,"english, german, russian",TRUE,l_first,1,1,1,1,1,1
AM_2129759,1,AM,F,28,Armenian,different,IE,Greater Mesopotamia,"english, russian, german, spanish",TRUE,l_first,1,1,1,1,1,1
AM_2131367,0,AM,M,27,Armenian,different,IE,Greater Mesopotamia,"english, russian, german",TRUE,r_first,1,1,1,1,1,1
AM_2131473,1,AM,M,23,Armenian,different,IE,Greater Mesopotamia,"german, english",TRUE,l_first,1,1,1,1,0,1
AM_2131488,0,AM,F,26,Armenian,different,IE,Greater Mesopotamia,"english, bulgarian, russian, german",TRUE,l_first,1,1,1,1,1,1
AM_2131538,1,AM,F,25,Armenian,different,IE,Greater Mesopotamia,"russian, a little bit english",TRUE,l_first,1,1,1,1,1,1
AM_2131978,1,AM,F,54,Armenian,different,IE,Greater Mesopotamia,"russian, english",TRUE,l_first,1,1,1,1,1,1
AM_2132050,1,AM,F,21,Armenian,different,IE,Greater Mesopotamia,"russian, english, german",TRUE,l_first,1,1,1,1,1,1
AM_2132352,1,AM,F,21,Armenian,different,IE,Greater Mesopotamia,"english, italian, russian",TRUE,l_first,1,1,1,1,1,1
AM_2132489,1,AM,F,22,Armenian,different,IE,Greater Mesopotamia,"english, russian",TRUE,l_first,1,1,1,1,1,1
AM_2135059,1,AM,F,23,Armenian,different,IE,Greater Mesopotamia,"english,russian,spanish",TRUE,l_first,1,1,1,1,1,1
AM_2135205,1,AM,F,23,Armenian,different,IE,Greater Mesopotamia,"english, russian, spanish",TRUE,l_first,1,1,1,1,1,1
AM_2135351,1,RU,F,23,Russian,different,IE,Inner Asia,"english, french, italian",TRUE,l_first,1,1,1,1,1,1
AM_2135714,1,AM,F,24,Armenian,different,IE,Greater Mesopotamia,"russian, english",TRUE,l_first,1,1,1,1,1,1
CN_2085682,0,CN,F,20,Chinese,different,Sino-Tibetan,Southeast Asia,hi,TRUE,r_first,0,0,1,1,0,1
CN_2090343,1,CN,F,39,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,l_first,0,0,1,1,0,1
CN_2090516,1,CN,F,46,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,r_first,0,0,1,NA,NA,NA
CN_2090559,1,CN,F,40,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,l_first,0,0,1,NA,NA,NA
CN_2090893,0,CN,F,39,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,r_first,0,0,1,NA,NA,NA
CN_2091068,1,CN,F,36,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,l_first,0,0,1,NA,NA,NA
CN_2091116,1,CN,F,44,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,r_first,0,0,1,1,0,1
CN_2091224,0,CN,F,37,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,l_first,0,0,1,NA,NA,NA
CN_2091379,1,CN,F,43,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,r_first,0,0,1,1,0,1
CN_2091417,0,CN,F,44,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,l_first,0,0,1,1,0,1
CN_2091465,0,CN,F,35,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,r_first,0,0,1,NA,NA,NA
CN_2091749,1,CN,F,36,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,l_first,0,0,1,NA,NA,NA
CN_2091822,1,CN,F,44,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,l_first,0,0,1,NA,NA,NA
CN_2092002,1,CN,F,46,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,r_first,0,0,1,NA,NA,NA
CN_2092150,1,CN,M,46,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,r_first,0,0,1,1,0,1
CN_2092280,1,CN,M,44,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,l_first,0,0,1,NA,NA,NA
CN_2092469,1,CN,F,37,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,r_first,0,0,1,1,0,1
CN_2092617,1,CN,F,39,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,l_first,0,0,1,NA,NA,NA
CN_2092884,1,CN,M,44,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,r_first,0,0,1,NA,NA,NA
CN_2093102,1,CN,F,44,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,r_first,0,0,1,NA,NA,NA
CN_2093540,1,CN,F,47,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,r_first,0,0,1,1,0,1
CN_2093752,1,CN,F,20,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,r_first,0,0,1,1,0,1
CN_2093858,1,CN,F,21,Chinese,different,Sino-Tibetan,Southeast Asia,english，spanish,TRUE,r_first,0,0,1,1,1,1
CN_2093964,1,CN,F,22,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,r_first,0,0,1,1,0,1
CN_2094119,0,CN,F,23,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,l_first,0,0,1,1,0,1
CN_2094331,1,CN,F,20,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,r_first,0,0,1,1,0,1
CN_2094333,1,CN,F,20,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,r_first,0,0,1,1,0,1
CN_2094542,1,CN,F,37,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,l_first,0,0,1,1,0,1
CN_2094865,1,CN,F,45,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,r_first,0,0,1,NA,NA,NA
CN_2095104,0,CN,F,19,Chinese,different,Sino-Tibetan,Southeast Asia,english,TRUE,l_first,0,0,1,1,0,1
CN_2095358,1,CN,F,44,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,r_first,0,0,1,NA,NA,NA
CN_2095401,1,CN,M,46,Chinese,different,Sino-Tibetan,Southeast Asia,NA,FALSE,r_first,0,0,1,NA,NA,NA
