ID,sex,Language,Name,Script,Family,Autotyp_Area,trial,Condition,match
AL_2137891,M,AL,Albanian,roman,IE,Europe,1,l,TRUE
AL_2137891,M,AL,Albanian,roman,IE,Europe,2,r,TRUE
AL_2142091,F,AL,Albanian,roman,IE,Europe,1,l,FALSE
AL_2142091,F,AL,Albanian,roman,IE,Europe,2,r,TRUE
AL_2142743,M,AL,Albanian,roman,IE,Europe,1,l,FALSE
AL_2142743,M,AL,Albanian,roman,IE,Europe,2,r,TRUE
AL_2143087,F,AL,Albanian,roman,IE,Europe,1,r,FALSE
AL_2143087,F,AL,Albanian,roman,IE,Europe,2,l,TRUE
AL_2144707,F,AL,Albanian,roman,IE,Europe,1,r,TRUE
AL_2144707,F,AL,Albanian,roman,IE,Europe,2,l,TRUE
AL_2145197,F,AL,Albanian,roman,IE,Europe,1,r,TRUE
AL_2145197,F,AL,Albanian,roman,IE,Europe,2,l,TRUE
AL_2200030,F,AL,Albanian,roman,IE,Europe,1,r,TRUE
AL_2200030,F,AL,Albanian,roman,IE,Europe,2,l,TRUE
AL_2200491,F,AL,Albanian,roman,IE,Europe,1,l,TRUE
AL_2200491,F,AL,Albanian,roman,IE,Europe,2,r,TRUE
AL_2200597,M,AL,Albanian,roman,IE,Europe,1,l,TRUE
AL_2200597,M,AL,Albanian,roman,IE,Europe,2,r,TRUE
AL_2201480,M,AL,Albanian,roman,IE,Europe,1,r,TRUE
AL_2201480,M,AL,Albanian,roman,IE,Europe,2,l,TRUE
AM_2085826,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
AM_2085826,F,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2086395,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
AM_2086395,F,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2089819,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
AM_2089819,F,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2090125,F,AM,Armenian,different,IE,Greater Mesopotamia,1,r,TRUE
AM_2090125,F,AM,Armenian,different,IE,Greater Mesopotamia,2,l,TRUE
AM_2110154,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
AM_2110154,F,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2124652,F,RU,Russian,different,IE,Inner Asia,1,r,TRUE
AM_2124652,F,RU,Russian,different,IE,Inner Asia,2,l,TRUE
AM_2126284,M,AM,Armenian,different,IE,Greater Mesopotamia,1,l,FALSE
AM_2126284,M,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2129759,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
AM_2129759,F,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2131367,M,AM,Armenian,different,IE,Greater Mesopotamia,1,r,FALSE
AM_2131367,M,AM,Armenian,different,IE,Greater Mesopotamia,2,l,TRUE
AM_2131473,M,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
AM_2131473,M,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2131488,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,FALSE
AM_2131488,F,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2131538,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
AM_2131538,F,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2131978,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
AM_2131978,F,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2132050,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
AM_2132050,F,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2132352,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
AM_2132352,F,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2132489,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
AM_2132489,F,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2135059,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
AM_2135059,F,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2135205,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
AM_2135205,F,AM,Armenian,different,IE,Greater Mesopotamia,2,r,TRUE
AM_2135351,F,RU,Russian,different,IE,Inner Asia,1,l,TRUE
AM_2135351,F,RU,Russian,different,IE,Inner Asia,2,r,TRUE
AM_2135714,F,AM,Armenian,different,IE,Greater Mesopotamia,1,l,TRUE
